OBJECT_ID,ALARM_ID,ALARM_LVL,ALARM_DESC,ALARM_DESC_TW
Charger1,32,2,Charging pile. no abnormalities in receiving and sending out,[INCOM-2] 充電樁 受入送出動作無 異常
Charger1,33,2,Charging pile motor forward inspection abnormal,[INCOM-2] 充電樁 馬達前進檢 異常
Charger1,34,2,Charging pile motor back check abnormal,[INCOM-2] 充電樁 馬達後退檢 異常
Charger1,35,2,Charging pile motor abnormal,[INCOM-2] 充電樁 馬達異常
Charger1,36,2,Charging pile charging control abnormal,[INCOM-2] 充電樁 充電控制 異常
Charger1,37,2,Charging pile distance perception abnormal,[INCOM-2] 充電樁 距離感知 異常
Charger1,38,2,Charging pile temperature perception abnormal,[INCOM-2] 充電樁 溫度感知 異常
Charger1,39,1,Charging pile measuring voltage at the front end,[INCOM-2] 充電樁 前進端量測電壓無
Charger1,40,2,Charging pile The charging head is not positioned,[INCOM-2] 充電樁 充電頭未定位
Charger1,41,2,Charger execution command timeout,[INCOM-2] 充電機 執行指令超時
Charger1,42,2,,
Charger1,43,2,,
Charger1,44,2,,
Charger1,45,2,,
Charger1,46,2,,
Charger1,47,2,,
Charger1,48,2,Charger abnormal,[INCOM-2] 充電機 異常
Charger1,49,2,Charger communication is abnormal,[INCOM-2] 充電機 通訊異常
Charger1,50,2,Abnormal power supply of the charger,[INCOM-2] 充電機 送電異常
Charger1,51,2,Charger output current,[INCOM-2] 充電機 輸出電流無
Charger1,52,2,Charger Non-power transmission process No load power transmission abnormal,[INCOM-2] 充電機 非送電流程 無負載送電異常
Charger1,53,2,,　
Charger1,54,2,,　
Charger1,55,2,,　
Charger1,56,2,,  
Charger1,57,2,,　
Charger1,58,2,,　
Charger1,59,2,,　
Charger1,60,2,,　
Charger1,61,2,,　
Charger1,62,2,,　
Charger1,63,2,,  
Charger1,10201,1,Coupler position not safety,
Charger2,64,2,Charging pile. no abnormalities in receiving and sending out,[INCOM-1] 充電樁 受入送出動作無 異常
Charger2,65,2,Charging pile motor forward inspection abnormal,[INCOM-1] 充電樁 馬達前進檢 異常
Charger2,66,2,Charging pile motor back check abnormal,[INCOM-1] 充電樁 馬達後退檢 異常
Charger2,67,2,Charging pile motor abnormal,[INCOM-1] 充電樁 馬達異常
Charger2,68,2,Charging pile charging control abnormal,[INCOM-1] 充電樁 充電控制 異常
Charger2,69,2,Charging pile distance perception abnormal,[INCOM-1] 充電樁 距離感知 異常
Charger2,70,2,Charging pile temperature perception abnormal,[INCOM-1] 充電樁 溫度感知 異常
Charger2,71,1,Charging pile measuring voltage at the front end,[INCOM-1] 充電樁 前進端量測電壓無
Charger2,72,2,Charging pile The charging head is not positioned,[INCOM-1] 充電樁 充電頭未定位
Charger2,73,2,Charger execution command timeout,[INCOM-1] 充電機 執行指令超時
Charger2,74,2,,
Charger2,75,2,,
Charger2,76,2,,
Charger2,77,2,,
