ID,EQ_NAME,EQ_NUMBER
B7_OHB_CR01,OHT,CR01
B7_OHB_CR02,OHT,CR02
B7_OHB_CR03,OHT,CR03
B7_OHB_CR04,OHT,CR04
B7_OHB_CR05,OHT,CR05
B7_OHB_CR06,OHT,CR06
B7_OHB_CR07,OHT,CR07
B7_OHB_CR08,OHT,CR08
B7_OHB_CR09,OHT,CR09
B7_OHB_CR10,OHT,CR10
B7_OHB_CR11,OHT,CR11
B7_OHB_CR12,OHT,CR12
B7_OHB_CR13,OHT,CR13
B7_OHB_CR14,OHT,CR14
B7_OHB_CR15,OHT,CR15
B7_OHB_CR16,OHT,CR16
B7_OHB_CR17,OHT,CR17
B7_OHB_CR18,OHT,CR18
B7_OHB_CR14,OHT,CR14
B7_OHB_CR15,OHT,CR15
B7_OHB_CR16,OHT,CR16
B7_OHB_CR17,OHT,CR17
B7_OHB_CR18,OHT,CR18
B7_OHBLOOP_CR1,OHT,CR01
B7_OHBLOOP_CR2,OHT,CR02
B7_OHBLOOP_CR3,OHT,CR06
B7_OHBLINE1_CR1,OHT,CR03
B7_OHBLINE2_CR1,OHT,CR05
B7_OHBLINE3_CR1,OHT,CR07
B7_OHBLINE3_CR2,OHT,CR08
B7_OHBLINE3_CR3,OHT,CR09
B7_OHBLINE1_T01,OHCV,LINE1_T01
B7_OHBLINE2_T01,OHCV,LINE2_T01
B7_OHBLINE2_T02,OHCV,LINE2_T02
B7_OHBLINE2_T03,OHCV,LINE2_T03
B7_OHBLINE3_T01,OHCV,LINE3_T01
B7_OHBLINE3_T02,OHCV,LINE3_T02
B7_OHBLOOP_T01,OHCV,LOOP_T01
B7_OHBLOOP_T02,OHCV,LOOP_T02
B7_OHBLOOP_T03,OHCV,LOOP_T03
B7_OHBLOOP_T04,OHCV,LOOP_T04
B7_OHBLOOP_T05,OHCV,LOOP_T05
B7_OHBLOOP_T06,OHCV,LOOP_T06
B7_OHBLOOP_T07,OHCV,LOOP_T07
B7_OHBLOOP_T08,OHCV,LOOP_T08
B7_OHBLOOP_T09,OHCV,LOOP_T09
B7_OHBLOOP_T0A,OHCV,LOOP_T0A
B7_OHBLOOP_T0B,OHCV,LOOP_T0B
B7_OHBLOOP_T0C,OHCV,LOOP_T0C
B7_OHBLINE1_A01,STATION,LINE1_A01
B7_OHBLINE1_A02,STATION,LINE1_A02
B7_OHBLINE1_A03,STATION,LINE1_A03
B7_OHBLINE1_A04,STATION,LINE1_A04
B7_OHBLINE1_A05,STATION,LINE1_A05
B7_OHBLINE2_A01,STATION,LINE2_A01
B7_OHBLINE2_A02,STATION,LINE2_A02
B7_OHBLINE2_A03,STATION,LINE2_A03
B7_OHBLINE2_A04,STATION,LINE2_A04
B7_OHBLINE2_A05,STATION,LINE2_A05
B7_OHBLINE3_A01,STATION,LINE3_A01
B7_OHBLINE3_A02,STATION,LINE3_A02
B7_OHBLINE3_A03,STATION,LINE3_A03
B7_OHBLINE3_A04,STATION,LINE3_A04
B7_OHBLINE3_A05,STATION,LINE3_A05
B7_OHBLINE3_A06,STATION,LINE3_A06
B7_OHBLINE3_A07,STATION,LINE3_A07
B7_OHBLINE3_A08,STATION,LINE3_A08
B7_OHBLOOP_A01,STATION,LOOP_A01
B7_OHBLOOP_A02,STATION,LOOP_A02
B7_OHBLOOP_A03,STATION,LOOP_A03
B7_OHBLOOP_A04,STATION,LOOP_A04
AGV01,AGV,AGV01
AGV02,AGV,AGV02
AGV03,AGV,AGV03
AGV04,AGV,AGV04
AGV05,AGV,AGV05
AGV06,AGV,AGV06
AGV07,AGV,AGV07
AGV08,AGV,AGV08
AGV09,AGV,AGV09
AGV10,AGV,AGV10
AGV11,AGV,AGV11
AGV12,AGV,AGV12
Charger1,CHARGE,Charger1
Charger2,CHARGE,Charger2
Charger3,CHARGE,Charger3
Charger4,CHARGE,Charger4
Charger5,CHARGE,Charger5
Charger6,CHARGE,Charger6
Charger7,CHARGE,Charger7
Charger8,CHARGE,Charger8
Charger9,CHARGE,Charger9
Charger10,CHARGE,Charger10
Charger11,CHARGE,Charger11
