ID,EQ_NAME,EQ_NUMBER
B6_OHB01_CR01,OHT,CR01
B6_OHB01_CR02,OHT,CR02
B6_OHB01_CR03,OHT,CR03
B6_OHB01_CR04,OHT,CR04
B6_OHB01_CR05,OHT,CR05
B6_OHB01_CR06,OHT,CR06
B6_OHB01_CR07,OHT,CR07
B6_OHB01_CR08,OHT,CR08
B6_OHB01_CR09,OHT,CR09
B6_OHB01_CR10,OHT,CR10
B6_OHB01_CR11,OHT,CR11
B6_OHB01_M01,MANUAL PORT,M01
B6_OHB01_M02,MANUAL PORT,M02
B6_OHB01_M03,MANUAL PORT,M03
B6_OHB01_M04,MANUAL PORT,M04
B6_OHB01_M05,MANUAL PORT,M05
B6_OHB01_M06,MANUAL PORT,M06
B6_OHB01_M07,MANUAL PORT,M07
B6_OHB01_M08,MANUAL PORT,M08
B6_OHB01_M09,MANUAL PORT,M09
B6_OHB01_M10,MANUAL PORT,M10
R1,轉轍器,R1
R2,轉轍器,R2
R3,轉轍器,R3
R4,轉轍器,R4
R5,轉轍器,R5
R6,轉轍器,R6
R7,轉轍器,R7
R8,轉轍器,R8
R9,轉轍器,R9
R10,轉轍器,R10
R11,轉轍器,R11
R12,轉轍器,R12
R13,轉轍器,R13
R14,轉轍器,R14
R15,轉轍器,R15
R16,轉轍器,R16
R17,轉轍器,R17
R18,轉轍器,R18
R19,轉轍器,R19
R20,轉轍器,R20
R21,轉轍器,R21
R22,轉轍器,R22
R23,轉轍器,R23
R24,轉轍器,R24
R25,轉轍器,R25
R26,轉轍器,R26
R27,轉轍器,R27
R28,轉轍器,R28
R29,轉轍器,R29
R30,轉轍器,R30
R31,轉轍器,R31
R32,轉轍器,R32
R33,轉轍器,R33
R34,轉轍器,R34
R35,轉轍器,R35
R36,轉轍器,R36
R37,轉轍器,R37
R38,轉轍器,R38
R39,轉轍器,R39
R40,轉轍器,R40
R41,轉轍器,R41
R42,轉轍器,R42
R43,轉轍器,R43
R44,轉轍器,R44
R45,轉轍器,R45
R46,轉轍器,R46
R47,轉轍器,R47
R48,轉轍器,R48
R49,轉轍器,R49
R50,轉轍器,R50
R51,轉轍器,R51
R52,轉轍器,R52
R53,轉轍器,R53
R54,轉轍器,R54
R55,轉轍器,R55
R56,轉轍器,R56
R57,轉轍器,R57
R58,轉轍器,R58
R59,轉轍器,R59
R60,轉轍器,R60
R61,轉轍器,R61
R62,轉轍器,R62
R63,轉轍器,R63
R64,轉轍器,R64
R65,轉轍器,R65
R66,轉轍器,R66
R67,轉轍器,R67
R68,轉轍器,R68
R69,轉轍器,R69
R70,轉轍器,R70
R71,轉轍器,R71
R72,轉轍器d,R72
