ID,EQ_NAME,EQ_NUMBER
B7_STK01,BC,B7_STK01
B7_STK01_M01,STK,STK01_M01
B7_STK01_M02,STK,STK01_M02
B7_STK01_A01,STK,STK01_A01
B7_STK01_A02,STK,STK01_A02
B7_STK01_CR1,STK,STK01_CR1
B7_STK02,BC,B7_STK02
B7_STK02_M01,STK,STK02_M01
B7_STK02_M02,STK,STK02_M02
B7_STK02_A01,STK,STK02_A01
B7_STK02_A02,STK,STK02_A02
B7_STK02_CR1,STK,STK02_CR1
B7_STK03,BC,B7_STK03
B7_STK03_M01,STK,STK03_M01
B7_STK03_A01,STK,STK03_A01
B7_STK03_A02,STK,STK03_A02
B7_STK03_CR1,STK,STK03_CR1
B7_NTB01,BC,B7_NTB01
B7_NTB01_M01,NTB,NTB01_M01
B7_NTB01_CR1,NTB,NTB01_CR1
B7_NTB02,BC,B7_NTB02
B7_NTB02_M01,NTB,NTB02_M01
B7_NTB02_CR1,NTB,NTB02_CR1
B7_NTB03,BC,B7_NTB03
B7_NTB03_M01,NTB,NTB03_M01
B7_NTB03_CR1,NTB,NTB03_CR1
B7_NTB04,BC,B7_NTB04
B7_NTB04_M01,NTB,NTB04_M01
B7_NTB04_CR1,NTB,NTB04_CR1
