Id,PositionX,PositionY,IsWorkStation,CanLeftLoad,CanLeftUnload,CanRightLoad,CanRightUnload,IsCharger,CouplerId,ChargeDirection,IsSegmentPoint,CanSpin,PioDirection,IsTR50,InsideSectionId,OffsetX,OffsetY,OffsetTheta,VehicleHeadAngle
10000,1500,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10001,2147,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10002,2503,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10003,2866,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10004,3225,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10005,3747,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10006,4107,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10007,4467,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10008,4827,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10009,5348,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10010,5706,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10011,6070,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10012,6427,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10013,6949,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10014,7308,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10015,7668,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10016,8028,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10017,8550,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10018,8908,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10019,9266,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10020,9626,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10021,10147,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10022,10508,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10023,10867,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10024,11224,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10025,11749,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10026,12109,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10027,12468,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10028,12826,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10029,13346,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10030,13706,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10031,14065,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10032,14428,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10033,14949,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10034,15309,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10035,15669,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10036,16028,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10037,16550,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10038,16911,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10039,17270,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10040,17629,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10041,18149,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10042,18509,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10043,18868,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10044,19229,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10045,19748,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10046,20107,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10047,20468,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10048,20830,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10049,21349,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10050,21709,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10051,22067,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10052,22429,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10053,22949,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10054,23312,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10055,23671,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10056,24031,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10057,24551,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10058,24911,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10059,25270,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10060,25630,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10061,26000,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
