AP_NAME,GATWAY_IP,REMOTE_IP
PLC,192.168.0.254,192.168.0.11
MCS,172.22.46.254,172.22.46.136
ROUTER,127.0.0.1,127.0.0.1
OHT1,192.168.201.254,192.168.201.50
OHT2,,
OHT3,,
OHT4,,
OHT5,,
OHT6,,
OHT7,,
OHT8,,
OHT9,,
OHT10,,
OHT11,,
OHT12,,
OHT13,,
OHT14,,
MTL,192.168.0.254,192.168.0.11
MTS,,
MTS2,,
HID1,192.168.0.254,192.168.0.101
HID2,,
HID3,,
HID4,,
ADAM6050_1,,
ADAM6050_2,,
ADAM6050_3,,
ADAM6050_4,,
AP1,127.0.0.1,127.0.0.1
AP2,127.0.0.1,127.0.0.1
AP3,127.0.0.1,127.0.0.1
AP4,127.0.0.1,127.0.0.1
AP5,127.0.0.1,127.0.0.1
AP6,127.0.0.1,127.0.0.1
AP7,127.0.0.1,127.0.0.1
AP8,127.0.0.1,127.0.0.1
AP9,127.0.0.1,127.0.0.1
AP10,127.0.0.1,127.0.0.1

