EQPT_REAL_ID,ECID,ECNAME,ECMIN,ECMAX,ECV
1ACP01-IND,0001,CONTROL STATE KEEPING TIME,0,600,10
1ACP01-IND,0003,GEM INITIAL CONTROL STATE,0,2,O
1ACP01-IND,0004,DEVICE ID,0,99,0
1ACP01-IND,0005,HEARTBEAT,0,99,0
1ACP01-IND,0006,T3,1,120,45
1ACP01-IND,0007,T5,1,240,10
1ACP01-IND,0008,T6,1,240,5
1ACP01-IND,0009,T7,1,240,10
1ACP01-IND,0010,T8,1,120,5
1ACP01-IND,0011,CONVERSATION TIMEOUT,1,600,60
1ACP01-IND,0101,DCS SERIVE ORDER,0,2,0
1ACP01-IND,0102,DCS ADVANCE MOVE,0,2,1
1ACP01-IND,0103,DCS ADVANCE GET,0,2,1
1ACP01-IND,0104,DCS ARM PRIORITY,1,2,1
1ACP01-IND,0105,DCS Mode,0,1,0
1ACP01-IND,0106,DCS SINGLE ARM,0,2,0
