Id,PositionX,PositionY,IsWorkStation,CanLeftLoad,CanLeftUnload,CanRightLoad,CanRightUnload,IsCharger,CouplerId,ChargeDirection,IsSegmentPoint,CanSpin,PioDirection,IsTR50,InsideSectionId,OffsetX,OffsetY,OffsetTheta,VehicleHeadAngle
10240,0,2270,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,None,None,TRUE,FALSE,Right,FALSE,0,0,0,0,0
10241,0,1140,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,None,None,TRUE,FALSE,Right,FALSE,0,0,0,0,0
10242,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,None,FALSE,0,0,0,0,0
12259,2239,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,None,FALSE,0,0,0,0,0
12260,2758,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,None,FALSE,0,0,0,0,0
12261,3277,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,None,FALSE,0,0,0,0,0
12262,3798,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,None,FALSE,0,0,0,0,0
12263,4317,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,None,FALSE,0,0,0,0,0
12264,4837,0,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,None,None,TRUE,FALSE,Right,FALSE,0,0,0,0,0
12265,5196,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,None,FALSE,0,0,0,0,0
12266,5557,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,None,FALSE,0,0,0,0,0
12267,5916,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,None,FALSE,0,0,0,0,0
12268,6437,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,None,FALSE,0,0,0,0,0
12269,6794,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,None,FALSE,0,0,0,0,0
12270,7155,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,None,FALSE,0,0,0,0,0
12271,7515,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,None,FALSE,0,0,0,0,0
12272,8037,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,None,FALSE,0,0,0,0,0
12273,8391,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,None,FALSE,0,0,0,0,0
12274,8753,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,None,FALSE,0,0,0,0,0
12275,9110,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,None,FALSE,0,0,0,0,0
