Id,FromAddress,ToAddress,Speed, Type,PermitDirection
01001,10000,10001,1000,Horizontal,Forward
01002,10001,10002,1000,Horizontal,Forward
01003,10002,10003,1000,Horizontal,Forward
01004,10003,10004,1000,Horizontal,Forward
01005,10004,10005,1000,Horizontal,Forward
01006,10005,10006,1000,Horizontal,Forward
01007,10006,10007,1000,Horizontal,Forward
01008,10007,10008,1000,Horizontal,Forward
01009,10008,10009,1000,Horizontal,Forward
01010,10009,10010,1000,Horizontal,Forward
01011,10010,10011,1000,Horizontal,Forward
01012,10011,10012,1000,Horizontal,Forward
01013,10012,10013,1000,Horizontal,Forward
01014,10013,10014,1000,Horizontal,Forward
01015,10014,10015,1000,Horizontal,Forward
01016,10015,10016,1000,Horizontal,Forward
01017,10016,10017,1000,Horizontal,Forward
01018,10017,10018,1000,Horizontal,Forward
01019,10018,10019,1000,Horizontal,Forward
01020,10019,10020,1000,Horizontal,Forward
01021,10020,10021,1000,Horizontal,Forward
01022,10021,10022,1000,Horizontal,Forward
01023,10022,10023,1000,Horizontal,Forward
01024,10023,10024,1000,Horizontal,Forward
01025,10024,10025,1000,Horizontal,Forward
01026,10025,10026,1000,Horizontal,Forward
01027,10026,10027,1000,Horizontal,Forward
01028,10027,10028,1000,Horizontal,Forward
01029,10028,10029,1000,Horizontal,Forward
01030,10029,10030,1000,Horizontal,Forward
01031,10030,10031,1000,Horizontal,Forward
01032,10031,10032,1000,Horizontal,Forward
01033,10032,10033,1000,Horizontal,Forward
01034,10033,10034,1000,Horizontal,Forward
01035,10034,10035,1000,Horizontal,Forward
01036,10035,10036,1000,Horizontal,Forward
01037,10036,10037,1000,Horizontal,Forward
01038,10037,10038,1000,Horizontal,Forward
01039,10038,10039,1000,Horizontal,Forward
01040,10039,10040,1000,Horizontal,Forward
01041,10040,10041,1000,Horizontal,Forward
01042,10041,10042,1000,Horizontal,Forward
01043,10042,10043,1000,Horizontal,Forward
01044,10043,10044,1000,Horizontal,Forward
01045,10044,10045,1000,Horizontal,Forward
01046,10045,10046,1000,Horizontal,Forward
01047,10046,10047,1000,Horizontal,Forward
01048,10047,10048,1000,Horizontal,Forward
01049,10048,10049,1000,Horizontal,Forward
01050,10049,10050,1000,Horizontal,Forward
01051,10050,10051,1000,Horizontal,Forward
01052,10051,10052,1000,Horizontal,Forward
01053,10052,10053,1000,Horizontal,Forward
01054,10053,10054,1000,Horizontal,Forward
01055,10054,10055,1000,Horizontal,Forward
01056,10055,10056,1000,Horizontal,Forward
01057,10056,10057,1000,Horizontal,Forward
01058,10057,10058,1000,Horizontal,Forward
01059,10058,10059,1000,Horizontal,Forward
01060,10059,10060,1000,Horizontal,Forward
01061,10060,10061,1000,Horizontal,Forward
01062,10061,10062,1000,Horizontal,Forward
01063,10062,10063,1000,Horizontal,Forward
01064,10063,10064,1000,Horizontal,Forward
01065,10064,10065,1000,Horizontal,Forward
01066,10065,10066,1000,Horizontal,Forward
01067,10066,10067,1000,Horizontal,Forward
01068,10067,10068,1000,Horizontal,Forward
01069,10068,10069,1000,Horizontal,Forward
01070,10069,10070,1000,Horizontal,Forward
01071,10070,10071,1000,Horizontal,Forward
01072,10071,10072,1000,Horizontal,Forward
01073,10072,10073,1000,Horizontal,Forward
01074,10073,10074,1000,Horizontal,Forward
01075,10074,10075,1000,Horizontal,Forward
01076,10075,10076,1000,Horizontal,Forward
01077,10076,10077,1000,Horizontal,Forward
01078,10077,10078,1000,Horizontal,Forward
01079,10078,10079,1000,Horizontal,Forward
01080,10079,10080,1000,Horizontal,Forward
01081,10080,10081,1000,Horizontal,Forward
01082,10081,10082,1000,Horizontal,Forward
01083,10082,10083,1000,Horizontal,Forward
01084,10083,10084,1000,Horizontal,Forward
01085,10084,10085,1000,Horizontal,Forward
01086,10085,10086,1000,Horizontal,Forward
01087,10086,10087,1000,Horizontal,Forward
01088,10087,10088,1000,Horizontal,Forward
01089,10088,10089,1000,Horizontal,Forward
01090,10089,10090,1000,Horizontal,Forward
01091,10090,10091,1000,Horizontal,Forward
01092,10091,10092,1000,Horizontal,Forward
01093,10092,10093,1000,Horizontal,Forward
01094,10093,10094,1000,Horizontal,Forward
01095,10094,10095,1000,Horizontal,Forward
01096,10095,10096,1000,Horizontal,Forward
01097,10096,10097,1000,Horizontal,Forward
01098,10097,10098,1000,Horizontal,Forward
01099,10098,10099,1000,Horizontal,Forward
01100,10099,10100,1000,Horizontal,Forward
01101,10100,10101,1000,Horizontal,Forward
01102,10101,10102,1000,Horizontal,Forward
01103,10102,10103,1000,Horizontal,Forward
01104,10103,10104,1000,Horizontal,Forward
01105,10104,10105,1000,Horizontal,Forward
01106,10105,10106,1000,Horizontal,Forward
01107,10106,10107,1000,Horizontal,Forward
01108,10107,10108,1000,Horizontal,Forward
01109,10108,10109,1000,Horizontal,Forward
01110,10109,10110,1000,Horizontal,Forward
01111,10110,10111,1000,Horizontal,Forward
01112,10111,10112,1000,Horizontal,Forward
01113,10112,10113,1000,Horizontal,Forward
01114,10113,10114,1000,Horizontal,Forward
01115,10114,10115,1000,Horizontal,Forward
01116,10115,10116,1000,Horizontal,Forward
01117,10116,10117,1000,Horizontal,Forward
01118,10117,10118,1000,Horizontal,Forward
01119,10118,10119,1000,Horizontal,Forward
01120,10119,10120,1000,Horizontal,Forward
01121,10120,10121,1000,Horizontal,Forward
01122,10121,10122,1000,Horizontal,Forward
01123,10122,10123,1000,Horizontal,Forward
01124,10123,10124,1000,Horizontal,Forward
01125,10124,10000,1000,Horizontal,Forward
