GROUP_ID,ENHAN_CONTROL_SECTION
G001,30003-30004-30005
G002,30007-30008-30009-30010
G003,30012-30013-30014
G004,30016-30017-30018
G005,30020-30021-30022
G006,30024-30025-30026
G007,30028-30029-30030
G008,30032-30033-30034
G009,30036-30037-30038
G010,30040-30041-30042
G011,30060-30061-30062
G012,30064-30065-30066
G013,30068-30069-30070
G014,30088-30089-30090
G015,30092-30093-30094-30095
G016,30097-30098-30099
G017,30101-30102-30103
G019,30106-30107-30108
G021,30110-30111-30112
G022,30121-30122
G023,30131-30132-30133-30134
G024,30136-30137-30138
G025,30140-30141-30142
G026,30144-30145-30146
G027,30148-30149-30150-30151-30152
G028,30155-30156-30157
G029,30159-30160-30161
G030,30163-30164-30165
G031,30167-30168-30169
G033,30171-30172-30173
G034,30175-30176-30177
G035,30179-30180-30181
G036,30183-30184-30185
G037,30187-30188-30189
G038,30191-30192-30193-30194-30195
G039,30197-30198-30199
G040,30213-30214-30215
G041,30217-30218-30219
G042,30221-30222-30223-30224-30225-30226
G043,30228-30001
G043,30200-30205-30210
