Id,FromAddress,ToAddress,Speed, Type,PermitDirection
00101,10000,10030,1000,Horizontal,Forward
00131,10030,10001,1000,Horizontal,Forward
00102,10001,10002,1000,Horizontal,Forward
00103,10002,10003,1000,Horizontal,Forward
00104,10003,10004,1000,Horizontal,Forward
00105,10004,10005,1000,Horizontal,Forward
00106,10005,10006,1000,Horizontal,Forward
00107,10006,10007,1000,Horizontal,Forward
00108,10007,10008,1000,Horizontal,Forward
00109,10008,10009,1000,Horizontal,Forward
00110,10009,10010,1000,Horizontal,Forward
00111,10010,10011,1000,Horizontal,Forward
00112,10011,10012,1000,Horizontal,Forward
00113,10012,10013,1000,Horizontal,Forward
00114,10013,10014,1000,Horizontal,Forward
00115,10014,10031,1000,Horizontal,Forward
00132,10031,10032,1000,Horizontal,Forward
00133,10032,10033,1000,Horizontal,Forward
00134,10033,10034,1000,Horizontal,Forward
00135,10034,10035,1000,Horizontal,Forward
00136,10035,10036,1000,Horizontal,Forward
00137,10036,10015,1000,Horizontal,Forward
00116,10015,10016,1000,Horizontal,Forward
00117,10016,10017,1000,Horizontal,Forward
00118,10017,10018,1000,Horizontal,Forward
00119,10018,10019,1000,Horizontal,Forward
00120,10019,10020,1000,Horizontal,Forward
00121,10020,10021,1000,Horizontal,Forward
00122,10021,10022,1000,Horizontal,Forward
00123,10022,10023,1000,Horizontal,Forward
00124,10023,10024,1000,Horizontal,Forward
00125,10024,10025,1000,Horizontal,Forward
00126,10025,10026,1000,Horizontal,Forward
00127,10026,10027,1000,Horizontal,Forward
00128,10027,10028,1000,Horizontal,Forward
00129,10028,10029,1000,Horizontal,Forward
00130,10029,10000,1000,Horizontal,Forward
