GROUP_ID,ENHAN_CONTROL_SECTION
G001,01002-01003-01004
G002,01008-01009-01010
G003,01012-01013-01014
G004,01016-01017-01018-01019-01020
G005,01024-01025-01026
G006,01028-01029-01030
G007,01041-01042-01043-01044-01045-01046-01047-01048-01049-01050-01051
G008,01053-01054
G009,01056-01057-01058
G010,01060-01061-01062
G011,01064-01065-01066
G012,01068-01069-01070
G013,01072-01073-01074
G014,01076-01077-01078
G015,01080-01081-01082
G016,01084-01085-01086
G017,01088-01089-01090
G018,01092-01093-01094
G019,01096-01097-01098
G020,01100-01101-01102
G021,01104-01105-01106
G022,01108-01109-01110
G023,01112-01113-01114
G024,01116-01117-01118
G025,01120-01121-01122
G026,01037-01038
G027,01124-01125
